stage,p50_ms,p95_ms,p99_ms,mean_ms,max_ms,num_samples
total,2.154083,2.438167,2.581919,2.120385,8.096042,200000
retrieval,1.854834,2.142833,2.279918,1.829569,7.747667,200000
ranking,0.174833,0.210875,0.226834,0.177613,1.632625,200000
reranking,0.000000,0.000042,0.000042,0.000013,0.005125,200000
