stage,p50_ms,p95_ms,p99_ms,mean_ms,max_ms,num_samples
total,2.897041,5.318379,6.117127,3.366789,57.560916,200000
retrieval,2.529750,4.603916,5.374625,2.914792,55.449000,200000
ranking,0.200292,0.538458,0.605041,0.277491,2.961875,200000
reranking,0.000042,0.000250,0.000334,0.000065,0.013375,200000
