round,mean_reward_per_impression
0,0.008029
1,0.041882
2,0.040746
3,0.014847
4,0.027264
5,0.022799
6,0.027238
7,0.042878
8,0.027446
9,0.024410
10,0.029380
11,0.017635
12,0.017755
13,0.052662
14,0.030475
15,0.034343
16,0.034434
17,0.033221
18,0.005697
19,0.020077
