stage,p50_ms,p95_ms,p99_ms,mean_ms,max_ms,num_samples
total,6.327125,8.920583,9.783708,14.204460,756957.267708,200000
retrieval,6.325458,8.918377,9.780542,14.202699,756957.257834,200000
ranking,0.001458,0.002792,0.004500,0.001557,0.146500,200000
reranking,0.000000,0.000000,0.000000,0.000000,0.000000,200000
