stage,p50_ms,p95_ms,p99_ms,mean_ms,max_ms,num_samples
total,0.150209,0.162625,0.178833,0.152008,2.810958,200000
retrieval,0.130125,0.141333,0.155625,0.131721,2.750334,200000
ranking,0.004458,0.005542,0.006958,0.004462,0.034875,200000
reranking,0.000000,0.000042,0.000042,0.000013,0.000125,200000
