round,mean_reward_per_impression
0,0.100689
1,0.068143
2,0.073109
3,0.089346
4,0.062736
5,0.068956
6,0.090081
7,0.062020
8,0.065465
9,0.083524
10,0.072072
11,0.057996
12,0.075793
13,0.075509
14,0.053332
15,0.072985
16,0.042024
17,0.027158
18,0.070020
19,0.031141
