stage,p50_ms,p95_ms,p99_ms,mean_ms,max_ms,num_samples
total,1.196375,1.244250,1.329125,1.191084,5.901583,200000
retrieval,0.999958,1.044166,1.127375,0.996774,5.058458,200000
ranking,0.116292,0.123875,0.131208,0.116204,1.681750,200000
reranking,0.000000,0.000042,0.000042,0.000012,0.000667,200000
