round,impressions,mean_watch_ratio,mean_watch_seconds,instant_skip_rate,completion_rate,like_rate,share_rate,follow_rate,mean_session_length,reward_per_impression,reward_per_session,mean_true_affinity
0,100000,0.449829,12.521385,0.468380,0.416160,0.075820,0.029150,0.008830,8.660258,0.100689,0.871994,0.104575
1,100000,0.420823,7.935809,0.496530,0.385420,0.072360,0.026910,0.010200,6.894174,0.068143,0.469793,0.102372
2,100000,0.421410,10.552112,0.496720,0.386390,0.070800,0.027430,0.009070,6.453278,0.073109,0.471794,0.101364
3,100000,0.439200,9.809093,0.478870,0.405440,0.077490,0.028440,0.010580,6.420546,0.089346,0.573652,0.101605
4,100000,0.411850,8.767200,0.505150,0.376410,0.071280,0.025690,0.008810,6.529120,0.062736,0.409613,0.101096
5,100000,0.409926,13.201236,0.506480,0.375110,0.071390,0.025710,0.009480,6.571598,0.068956,0.453149,0.097388
6,100000,0.439927,10.401415,0.477780,0.406400,0.074750,0.027590,0.012420,6.506181,0.090081,0.586084,0.098696
7,100000,0.398800,15.616653,0.517380,0.363960,0.069890,0.024980,0.009460,6.535948,0.062020,0.405362,0.095101
8,100000,0.403865,14.258331,0.511790,0.370010,0.067090,0.025760,0.010120,6.509569,0.065465,0.426150,0.086941
9,100000,0.426408,13.402449,0.491400,0.392370,0.073640,0.026540,0.011480,6.527415,0.083524,0.545196,0.099813
10,100000,0.413901,12.409838,0.501340,0.380720,0.070470,0.026690,0.010120,6.532105,0.072072,0.470784,0.085408
11,100000,0.398407,12.449483,0.513960,0.365070,0.066080,0.024400,0.009920,6.537657,0.057996,0.379158,0.080866
12,100000,0.423179,10.369073,0.492830,0.389440,0.073280,0.026780,0.011470,6.527415,0.075793,0.494731,0.094560
13,100000,0.422148,10.430670,0.491840,0.391240,0.072640,0.027130,0.012090,6.512113,0.075509,0.491721,0.076220
14,100000,0.398106,10.461639,0.514800,0.365650,0.067270,0.024030,0.010340,6.532105,0.053332,0.348370,0.071329
15,100000,0.422182,9.775288,0.494510,0.388060,0.072050,0.027000,0.010580,6.539367,0.072985,0.477277,0.096485
16,100000,0.380590,12.563070,0.532470,0.346100,0.065330,0.024140,0.009640,6.521030,0.042024,0.274039,0.079793
17,100000,0.364534,12.593906,0.547530,0.330030,0.059850,0.022090,0.009010,6.535948,0.027158,0.177502,0.074362
18,100000,0.406511,16.495993,0.509790,0.370720,0.069860,0.025240,0.011940,6.522306,0.070020,0.456690,0.100654
19,100000,0.362054,16.286660,0.554560,0.325000,0.062110,0.023470,0.009150,6.533812,0.031141,0.203467,0.094186
