stage,p50_ms,p95_ms,p99_ms,mean_ms,max_ms,num_samples
total,3.314604,8.178294,8.783336,3.800347,17.439042,200000
retrieval,2.964729,7.820752,8.408500,3.490154,16.758750,200000
ranking,0.171000,0.207417,0.225625,0.170271,5.932167,200000
reranking,0.024334,0.035042,0.041000,0.023892,2.181417,200000
