bin,mean_pred,mean_actual,count
0,0.07718044865,0.1111111111,2088
1,0.1279168404,0.1536620393,2089
2,0.1578830769,0.1483963619,2089
3,0.1834928496,0.162835249,2088
4,0.208095206,0.1847774055,2089
5,0.2321216966,0.1819052178,2089
6,0.2581932491,0.2188697318,2088
7,0.2869479455,0.2551460029,2089
8,0.3204252789,0.2556247008,2089
9,0.377514723,0.3164193394,2089
