bin,mean_pred,mean_actual,count
0,0.5758129683,0.6489463602,2088
1,0.7898250649,0.8176160843,2089
2,0.853023315,0.8506462422,2089
3,0.8872580341,0.8898467433,2088
4,0.9106113974,0.9119195787,2089
5,0.9266388531,0.9191000479,2089
6,0.9385778578,0.9324712644,2088
7,0.9486572767,0.9435136429,2089
8,0.9575952055,0.9521302058,2089
9,0.9688322974,0.9602680708,2089
