bin,mean_pred,mean_actual,count
0,0.08967650638,0.08237547893,2088
1,0.1223732892,0.1335567257,2089
2,0.1531649952,0.1785543322,2089
3,0.1851441159,0.2212643678,2088
4,0.2173426201,0.2450933461,2089
5,0.2517573869,0.3216850168,2089
6,0.2904772327,0.3213601533,2088
7,0.3355547554,0.3465773097,2089
8,0.3890945612,0.3949258018,2089
9,0.4968938681,0.4542843466,2089
