bin,mean_pred,mean_actual,count
0,0.7378136201,1.16131333,2088
1,1.143950067,1.300315351,2089
2,1.316898135,1.404475058,2089
3,1.467174674,1.529318856,2088
4,1.588679025,1.579590673,2089
5,1.690703584,1.638535722,2089
6,1.776851529,1.681003231,2088
7,1.903611407,1.730920618,2089
8,2.059650063,1.739365339,2089
9,2.322361398,1.839398483,2089
