stage,p50_ms,p95_ms,p99_ms,mean_ms,max_ms,num_samples
total,0.152417,0.165750,0.182750,0.153845,2.503209,200000
retrieval,0.131708,0.143166,0.157917,0.132745,2.423375,200000
ranking,0.004333,0.005375,0.006834,0.004337,0.042125,200000
reranking,0.000000,0.000042,0.000042,0.000013,0.004875,200000
