archetype_index,archetype_name,impressions,exposure_share,mean_immediate_satisfaction,mean_regret
0,genuinely_satisfying,214829,0.206352,0.319430,0.013694
1,useful,134881,0.129559,0.344087,0.014248
2,ragebait,94132,0.090418,-0.569922,0.500917
3,clickbait,151448,0.145472,-0.215318,0.334635
4,comfort,163130,0.156693,0.133990,0.018539
5,polished_irrelevant,91113,0.087518,-0.141996,0.160920
6,niche_treasure,61183,0.058769,0.273054,0.028461
7,background_music,130365,0.125221,0.054976,0.021440
