stage,p50_ms,p95_ms,p99_ms,mean_ms,max_ms,num_samples
total,2.487208,3.068044,3.424382,2.518022,8.059125,200000
retrieval,2.151542,2.722750,3.082666,2.182297,7.356167,200000
ranking,0.182375,0.203292,0.249417,0.184600,1.916209,200000
reranking,0.026958,0.033375,0.042167,0.024763,0.649291,200000
