stage,p50_ms,p95_ms,p99_ms,mean_ms,max_ms,num_samples
total,2.965250,5.388750,6.134875,3.433931,33.792750,200000
retrieval,2.597042,4.685336,5.404043,2.982486,33.344792,200000
ranking,0.198875,0.528750,0.594000,0.275729,5.352958,200000
reranking,0.000041,0.000208,0.000333,0.000050,0.015292,200000
