round,sampled_requests,mean_regret,cumulative_regret
0,196,0.693683,135.961830
1,212,0.619650,267.327638
2,205,0.568710,383.913138
3,199,0.557506,494.856844
4,203,0.563895,609.327622
5,185,0.519289,705.396054
6,186,0.493683,797.221006
7,209,0.504328,902.625494
8,208,0.489180,1004.374892
9,186,0.507000,1098.676918
10,178,0.486221,1185.224191
11,190,0.732748,1324.446327
12,191,0.676324,1453.624220
13,190,0.625208,1572.413769
14,188,0.544273,1674.737149
15,206,0.506562,1779.088912
16,212,0.433398,1870.969346
17,210,0.406542,1956.343225
18,196,0.378261,2030.482425
19,195,0.343126,2097.391936
