round,interactions_per_user,mean_reward_per_impression,mean_estimated_hidden_cosine,drifted_mean_reward,control_mean_reward,drifted_alignment,control_alignment
0,10,0.102379,0.256122,0.102379,nan,0.256122,nan
1,20,0.140396,0.283329,0.140396,nan,0.283329,nan
2,30,0.183947,0.299939,0.183947,nan,0.299939,nan
3,40,0.200382,0.312532,0.200382,nan,0.312532,nan
4,50,0.215271,0.323289,0.215271,nan,0.323289,nan
5,60,0.227896,0.333362,0.227896,nan,0.333362,nan
6,70,0.236629,0.341277,0.236629,nan,0.341277,nan
7,80,0.239346,0.349068,0.239346,nan,0.349068,nan
8,90,0.245058,0.359264,0.245058,nan,0.359264,nan
9,100,0.250883,0.370969,0.250883,nan,0.370969,nan
10,110,0.134754,0.251009,0.134754,nan,0.251009,nan
11,120,0.176734,0.299609,0.176734,nan,0.299609,nan
12,130,0.216385,0.357595,0.216385,nan,0.357595,nan
13,140,0.253330,0.411089,0.253330,nan,0.411089,nan
14,150,0.291971,0.467884,0.291971,nan,0.467884,nan
15,160,0.330810,0.525294,0.330810,nan,0.525294,nan
16,170,0.363459,0.575365,0.363459,nan,0.575365,nan
17,180,0.391017,0.613436,0.391017,nan,0.613436,nan
18,190,0.413167,0.650113,0.413167,nan,0.650113,nan
19,200,0.435977,0.682693,0.435977,nan,0.682693,nan
