round,impressions,mean_watch_ratio,mean_watch_seconds,instant_skip_rate,completion_rate,like_rate,share_rate,follow_rate,mean_session_length,reward_per_impression,reward_per_session,mean_true_affinity
0,100000,0.451145,12.711413,0.467430,0.417700,0.077540,0.029380,0.009230,8.661008,0.102379,0.886709,0.102936
1,100000,0.490052,12.598174,0.436600,0.453980,0.092820,0.034290,0.016750,6.908463,0.135984,0.939443,0.161127
2,100000,0.534141,12.792278,0.397260,0.499660,0.105340,0.040380,0.021260,6.415603,0.174905,1.122121,0.188286
3,100000,0.551203,12.502291,0.381820,0.517420,0.111510,0.040890,0.025670,6.417661,0.189634,1.217004,0.205815
4,100000,0.560833,12.832542,0.374820,0.526000,0.116630,0.044440,0.028700,6.551363,0.198411,1.299865,0.217757
5,100000,0.571989,14.488019,0.365930,0.537190,0.118430,0.045150,0.031410,6.599353,0.209661,1.383628,0.232164
6,100000,0.578246,17.326243,0.361300,0.542790,0.124170,0.045670,0.034730,6.527841,0.219286,1.431462,0.245735
7,100000,0.582819,19.031829,0.357050,0.546630,0.125420,0.046660,0.037260,6.487609,0.225829,1.465090,0.256157
8,100000,0.587195,19.733099,0.354490,0.550370,0.127390,0.046340,0.038910,6.548360,0.229598,1.503488,0.260072
9,100000,0.598541,20.150451,0.344740,0.562750,0.131110,0.049700,0.041210,6.542362,0.240850,1.575727,0.273021
10,100000,0.516374,15.624909,0.411350,0.480970,0.106500,0.039020,0.021330,6.550934,0.165018,1.081022,0.190462
11,100000,0.578359,16.454904,0.359730,0.542610,0.127780,0.047370,0.032560,6.562541,0.220209,1.445128,0.262812
12,100000,0.611030,17.648878,0.334410,0.577020,0.147910,0.053940,0.041860,6.493928,0.251226,1.631444,0.312459
13,100000,0.630540,18.697268,0.316060,0.597800,0.158080,0.056850,0.050900,6.565126,0.271459,1.782164,0.345237
14,100000,0.656930,20.946050,0.294370,0.626820,0.175710,0.063930,0.060700,6.516356,0.299497,1.951630,0.390082
15,100000,0.686755,23.564667,0.268040,0.658290,0.192110,0.070080,0.071870,6.544074,0.330573,2.163294,0.438430
16,100000,0.710249,26.913463,0.248650,0.682770,0.208820,0.076110,0.082880,6.532105,0.357100,2.332616,0.481370
17,100000,0.742582,28.747253,0.221490,0.718470,0.227170,0.082390,0.095690,6.526563,0.389821,2.544193,0.531486
18,100000,0.763535,29.807910,0.204380,0.741920,0.240410,0.086470,0.103580,6.534239,0.411208,2.686930,0.568108
19,100000,0.790805,31.345490,0.179750,0.770370,0.257240,0.093580,0.112970,6.509569,0.439246,2.859300,0.606449
