round,sampled_requests,mean_regret,cumulative_regret
0,196,0.693683,135.961830
1,212,0.625554,268.579364
2,205,0.576227,386.705883
3,199,0.558007,497.749194
4,203,0.580040,615.497247
5,185,0.563520,719.748414
6,186,0.516411,815.800787
7,209,0.530201,926.612786
8,208,0.520338,1034.843010
9,186,0.519370,1131.445814
10,178,0.490083,1218.680518
11,190,0.703627,1352.369693
12,191,0.632310,1473.140969
13,190,0.624924,1591.876541
14,188,0.556083,1696.420228
15,206,0.531452,1805.899269
16,212,0.409526,1892.718682
17,210,0.416702,1980.226163
18,196,0.392435,2057.143352
19,195,0.336987,2122.855818
