stage,p50_ms,p95_ms,p99_ms,mean_ms,max_ms,num_samples
total,2.902020,5.301836,5.991973,3.372808,47.038750,200000
retrieval,2.547042,4.631794,5.343297,2.941158,41.337209,200000
ranking,0.189584,0.462042,0.489750,0.257360,8.384584,200000
reranking,0.000041,0.000208,0.000333,0.000051,0.011750,200000
