stage,p50_ms,p95_ms,p99_ms,mean_ms,max_ms,num_samples
total,2.485625,3.065667,3.429504,2.516861,8.539291,200000
retrieval,2.150584,2.722916,3.074919,2.182108,7.952334,200000
ranking,0.181875,0.201666,0.245459,0.183871,2.025667,200000
reranking,0.028459,0.036458,0.046209,0.026985,2.769375,200000
