stage,p50_ms,p95_ms,p99_ms,mean_ms,max_ms,num_samples
total,3.004958,5.434791,6.107460,3.472480,49.586750,200000
retrieval,2.653500,4.767333,5.465126,3.045919,48.674792,200000
ranking,0.192875,0.467292,0.495167,0.259933,4.535417,200000
reranking,0.000041,0.000208,0.000333,0.000053,0.016209,200000
