stage,p50_ms,p95_ms,p99_ms,mean_ms,max_ms,num_samples
total,3.019958,6.196000,6.646084,3.536824,37.764708,200000
retrieval,2.690042,5.579000,5.984172,3.149214,33.923208,200000
ranking,0.186750,0.447875,0.474458,0.236192,3.408125,200000
reranking,0.000041,0.000208,0.000333,0.000053,0.015041,200000
