stage,p50_ms,p95_ms,p99_ms,mean_ms,max_ms,num_samples
total,2.056875,2.471333,2.623916,2.026549,6.613041,200000
retrieval,1.784041,2.171958,2.322292,1.753212,5.758459,200000
ranking,0.167750,0.212916,0.228458,0.171734,1.165166,200000
reranking,0.000000,0.000042,0.000042,0.000013,0.009834,200000
