stage,p50_ms,p95_ms,p99_ms,mean_ms,max_ms,num_samples
total,2.966750,5.717629,6.513962,3.428659,61.783083,200000
retrieval,2.602666,5.028668,5.721710,2.991604,58.677583,200000
ranking,0.200750,0.552792,0.607000,0.276765,4.564750,200000
reranking,0.000041,0.000208,0.000292,0.000060,1.531500,200000
