round,interactions_per_user,mean_reward_per_impression,mean_estimated_hidden_cosine,drifted_mean_reward,control_mean_reward,drifted_alignment,control_alignment
0,10,0.102379,0.252687,0.102379,nan,0.252687,nan
1,20,0.144057,0.280698,0.144057,nan,0.280698,nan
2,30,0.185034,0.297567,0.185034,nan,0.297567,nan
3,40,0.208449,0.310554,0.208449,nan,0.310554,nan
4,50,0.227623,0.320791,0.227623,nan,0.320791,nan
5,60,0.239611,0.331914,0.239611,nan,0.331914,nan
6,70,0.248408,0.342700,0.248408,nan,0.342700,nan
7,80,0.251696,0.353322,0.251696,nan,0.353322,nan
8,90,0.258163,0.368287,0.258163,nan,0.368287,nan
9,100,0.266631,0.384064,0.266631,nan,0.384064,nan
10,110,0.109914,0.205716,0.109914,nan,0.205716,nan
11,120,0.166444,0.276021,0.166444,nan,0.276021,nan
12,130,0.223551,0.360296,0.223551,nan,0.360296,nan
13,140,0.272808,0.437751,0.272808,nan,0.437751,nan
14,150,0.322391,0.506764,0.322391,nan,0.506764,nan
15,160,0.366698,0.565669,0.366698,nan,0.565669,nan
16,170,0.400584,0.619303,0.400584,nan,0.619303,nan
17,180,0.430041,0.668389,0.430041,nan,0.668389,nan
18,190,0.462649,0.712323,0.462649,nan,0.712323,nan
19,200,0.487753,0.746861,0.487753,nan,0.746861,nan
