stage,p50_ms,p95_ms,p99_ms,mean_ms,max_ms,num_samples
total,3.038041,5.432546,6.153672,3.486479,55.592167,200000
retrieval,2.663833,4.735836,5.418001,3.031483,54.404042,200000
ranking,0.201417,0.547252,0.641750,0.279035,5.945875,200000
reranking,0.000042,0.000209,0.000334,0.000075,0.129750,200000
