bin,mean_pred,mean_actual,count
0,0.0925815454,0.1147842057,2178
1,0.1349044568,0.1538108356,2178
2,0.1590664071,0.157943067,2178
3,0.1806063151,0.1877007802,2179
4,0.2035497638,0.196969697,2178
5,0.2293285463,0.2217630854,2178
6,0.2577429679,0.2253327214,2179
7,0.2914838711,0.2561983471,2178
8,0.3302947881,0.295224977,2178
9,0.3779331753,0.3070215695,2179
