bin,mean_pred,mean_actual,count
0,1.239390472,1.397139949,2178
1,1.376144059,1.470482084,2178
2,1.45428684,1.479713888,2178
3,1.517721304,1.488016774,2179
4,1.570116592,1.531577907,2178
5,1.627682256,1.566785108,2178
6,1.699421276,1.596088339,2179
7,1.76852311,1.677093255,2178
8,1.838956919,1.724623395,2178
9,1.980706243,1.653398256,2179
