bin,mean_pred,mean_actual,count
0,0.07433308991,0.06060606061,2178
1,0.1036871987,0.1037649219,2178
2,0.1332054714,0.1395775941,2178
3,0.1645083663,0.1968793024,2179
4,0.1963464377,0.2447199265,2178
5,0.2310541203,0.2814508724,2178
6,0.2730581877,0.3143643873,2179
7,0.3202710104,0.3305785124,2178
8,0.3840654511,0.3966942149,2178
9,0.5258028392,0.4681046352,2179
