bin,mean_pred,mean_actual,count
0,0.6796205013,0.6542699725,2178
1,0.8087507101,0.7933884298,2178
2,0.8518765219,0.8397612489,2178
3,0.8798635138,0.8641578706,2179
4,0.9004673294,0.9077134986,2178
5,0.9129601516,0.9150596878,2178
6,0.9245390456,0.9242771914,2179
7,0.9331343057,0.9416896235,2178
8,0.9440550579,0.9444444444,2178
9,0.9600246249,0.9619091326,2179
