bin,mean_pred,mean_actual,count
0,0.01936246781,0.007805325987,2178
1,0.03600654447,0.03168044077,2178
2,0.05199782474,0.03902662994,2178
3,0.07054840031,0.06975676916,2179
4,0.0883395782,0.0987144169,2178
5,0.1086397953,0.1202938476,2178
6,0.1326965062,0.1601652134,2179
7,0.1639620399,0.2070707071,2178
8,0.2117754989,0.2603305785,2178
9,0.3282474537,0.3001376778,2179
