stage,p50_ms,p95_ms,p99_ms,mean_ms,max_ms,num_samples
total,2.471792,3.042791,3.406751,2.502646,9.920833,200000
retrieval,2.163250,2.726835,3.081429,2.194226,9.112042,200000
ranking,0.180250,0.199958,0.243585,0.182468,1.650667,200000
reranking,0.000041,0.000166,0.000250,0.000035,0.047083,200000
